PWMFlankingScore,Label
-15866.768062946894,0
-16475.83929181449,0
-15907.494412195823,1
-15965.955467060061,0
-17110.791247117704,0
-15536.942225587678,1
-15085.777244916508,0
-15516.018099348308,0
-15920.605513172539,0
-15994.818174165306,1
-19854.15791959153,0
-16274.80066430538,0
-17756.9619658737,1
-14728.974529565134,0
-19571.868758847006,0
-20146.763123604935,1
-18381.561089728908,0
-16030.428941430353,0
-16662.790199795883,0
-17138.61165112032,0
-16841.483719790456,0
-14967.272450901553,0
-16615.106253462727,1
-17466.626419966535,0
-17970.637667842333,0
-15785.971606219697,0
-17488.608326641035,0
-17869.475423258908,0
-16676.107656002732,0
-16937.447075997618,0
-16761.69265267378,0
-19322.759792298235,0
-17748.464388895307,0
-15300.540913051202,1
-15907.319725065134,0
-17808.500915026685,0
-16225.158630806613,0
-17661.738191524633,0
-17201.81629170412,1
-16140.365656032644,0
-14681.290383457115,1
-16895.127434759044,0
-16686.923185218846,0
-17538.487558736262,1
-16314.119802764148,0
-15795.686291256732,0
-13939.917536240457,0
-16372.666833554678,0
-16428.814495024624,0
-15615.668902257665,0
-15359.322775428649,0
-14697.669067320696,0
-16519.98848383518,0
-15759.453114102897,0
-17432.244066421186,0
-15657.247136179321,0
-15446.86823782653,0
-16791.236855298645,1
-17419.79209297437,0
-18008.237931449203,0
-16085.591027426439,0
-16428.04683463319,0
-16945.137939751075,0
-15312.535189338892,0
-18433.802304080513,0
-14426.278787367559,0
-15787.409706107599,1
-14383.980529994704,1
-15854.89733144983,0
-14682.994652840922,0
-14845.722570604497,0
-16157.595182348754,0
-15836.725065326356,0
-18652.405875176035,1
-16835.99349068986,1
-15317.128887928107,0
-15000.785003208443,0
-15308.337010107325,0
-17468.479946029725,0
-15594.76778329288,1
-16770.35773497059,0
-15946.588586072014,1
-15215.043615888588,0
-16744.80355890447,0
-15330.603439993887,1
-15983.193126990805,1
-17643.494821423814,0
-16759.12659060822,0
-15690.549938873406,1
-16880.521012362235,0
-17177.13783693197,0
-15953.151219254676,1
-15276.220407951465,0
-15871.047630223922,1
-16101.634954909914,0
-15071.281474313579,1
-14982.466754951245,0
-14299.71081676825,0
-15176.813728668181,0
-17162.81654700738,0
-14595.369794634033,1
-16426.22948060558,0
-14674.027863389749,0
-15640.560724008497,0
-18002.292736133266,0
-15407.026785295775,1
-15500.716538494424,0
-15234.791308760072,0
-16711.4173199465,0
-16885.041720999947,0
-18249.287452987715,0
-17491.205244236968,0
-17509.337134691745,0
-17381.735574533235,0
-15368.012970431686,1
-16386.10984578713,0
-15615.232518966612,0
-16735.320054029784,0
-15354.377236885748,0
-17566.026756561736,0
-15910.473688879658,0
-14653.582224839505,0
-14358.82568998617,0
-17403.68005654408,1
-16727.738196667586,0
-16852.61213943527,1
-16388.044355432838,0
-17578.01187600707,0
